,WEEK_PRI,YEAR_PRI,1,2,3,4,NONE,TOTAL,OCURENCE_1,OCURENCE_2,OCURENCE_3,OCURENCE_4
943,9,2001,0.0,0.0,0.0,0.0,308.0,308.0,0,0,0,0
944,9,2002,0.0,0.0,0.0,0.0,6929.0,6929.0,0,0,0,0
945,9,2003,0.0,0.0,0.0,0.0,26.0,26.0,0,0,0,0
946,9,2004,0.0,0.0,0.0,0.0,8.0,8.0,0,0,0,0
947,9,2005,0.0,0.0,0.0,0.0,2.0,2.0,0,0,0,0
948,9,2006,0.0,0.0,0.0,0.0,94.0,94.0,0,0,0,0
136,9,2007,0.0,0.0,1.0,0.0,199.0,200.0,0,0,1,0
137,9,2008,0.0,5.0,0.0,0.0,1746.0,1751.0,0,1,0,0
138,9,2009,0.0,0.0,0.0,0.0,28.0,28.0,0,0,0,0
139,9,2010,0.0,0.0,0.0,0.0,33.0,33.0,0,0,0,0
140,9,2011,7.0,0.0,1.0,0.0,1639.0,1647.0,1,0,1,0
141,9,2012,1.0,0.0,0.0,36.0,689.0,726.0,1,0,0,1
142,9,2013,0.0,0.0,0.0,21.0,1392.0,1413.0,0,0,0,1
143,9,2014,0.0,0.0,0.0,0.0,11.0,11.0,0,0,0,0
144,9,2015,0.0,0.0,0.0,0.0,60.0,60.0,0,0,0,0
145,9,2016,0.0,0.0,0.0,0.0,126.0,126.0,0,0,0,0
146,9,2017,0.0,0.0,0.0,0.0,93.0,93.0,0,0,0,0
147,9,2018,0.0,0.0,0.0,1.0,82.0,83.0,0,0,0,1
148,9,2019,0.0,0.0,0.0,0.0,107.0,107.0,0,0,0,0
149,9,2020,0.0,1.0,0.0,0.0,39.0,40.0,0,1,0,0
150,9,2021,0.0,0.0,0.0,0.0,13.0,13.0,0,0,0,0
151,9,2022,0.0,6.0,0.0,0.0,27.0,33.0,0,1,0,0
152,9,2023,104.0,10.0,0.0,0.0,305.0,419.0,1,1,0,0
949,10,2000,0.0,0.0,0.0,0.0,45.0,45.0,0,0,0,0
950,10,2001,0.0,0.0,0.0,0.0,406.0,406.0,0,0,0,0
951,10,2002,0.0,0.0,0.0,0.0,9566.0,9566.0,0,0,0,0
